pc1,pc2,y
6.382503,0.3523922,0.0
6.416175,0.30859137,0.0
6.4622726,0.23549207,0.0
6.5037985,0.14223048,0.0
6.4732122,0.20010994,0.0
6.5458574,0.054083902,0.0
6.370958,0.3664074,0.0
6.3774414,0.3589528,0.0
6.5440254,0.05312922,0.0
6.4694495,0.19006184,0.0
6.4253387,0.27268845,0.0
6.5306764,0.06316334,0.0
6.528861,0.07540326,0.0
6.5501513,0.038162325,0.0
6.545241,0.030753095,0.0
6.527872,0.05825018,0.0
6.4979258,0.12046223,0.0
6.5895066,-0.100426055,0.0
6.5370917,0.035002325,0.0
6.5754423,-0.058196805,0.0
6.599746,-0.14067742,0.0
6.515203,0.076082915,0.0
6.5345078,0.039942008,0.0
6.4995627,0.10851831,0.0
6.490953,0.12807235,0.0
6.59181,-0.12914592,0.0
6.586374,-0.121065296,0.0
6.6010194,-0.20748414,0.0
6.6736507,-0.43906185,0.0
6.6592755,-0.37298316,0.0
6.5300765,0.016621146,0.0
6.6242642,-0.2704511,0.0
6.641288,-0.3292594,0.0
6.67615,-0.460302,0.0
6.5940013,-0.18748684,0.0
6.6118684,-0.23332119,0.0
6.686832,-0.50917774,0.0
6.7241573,-0.71759814,0.0
6.685713,-0.56370884,0.0
6.700439,-0.65213215,0.0
6.740256,-0.82884353,0.0
6.576154,-0.14616139,0.0
6.6539793,-0.3939379,0.0
6.605134,-0.21257016,0.0
6.6583076,-0.4049994,0.0
